"relative_dir","depth","immediate_files","recursive_files","immediate_bytes","recursive_bytes","immediate_text_lines","recursive_text_lines"
".","0","31","1071","494370","8365122","7172","154900"
".claude","1","1","1","178","178","11","11"
".github","1","3","10","2997","19072","55","447"
"bench","1","11","11","21195","21195","552","552"
"docs","1","37","74","877886","1727907","7838","14306"
"lab","1","1","1","139047","139047","3638","3638"
"legacy","1","1","7","70460","150460","828","1321"
"masters","1","3","3","29007","29007","400","400"
"mcps","1","0","699","0","3471599","0","74959"
"native","1","3","9","11436","69963","196","1388"
"scripts","1","9","9","31437","31437","765","765"
"src","1","4","116","151617","1661782","3149","36828"
"tests","1","100","100","549105","549105","13113","13113"
".github/ISSUE_TEMPLATE","2","3","3","2591","2591","82","82"
".github/workflows","2","4","4","13484","13484","310","310"
"docs/adr","2","9","9","39002","39002","431","431"
"docs/audit-2026-06-13","2","8","8","358579","358579","2156","2156"
"docs/audit-2026-06-15","2","7","7","83217","83217","797","797"
"docs/audit-2026-06-16","2","1","1","16556","16556","154","154"
"docs/DAILY_RUNS","2","1","1","11024","11024","56","56"
"docs/reference","2","2","2","52193","52193","413","413"
"docs/reports","2","9","9","289450","289450","2461","2461"
"legacy/opus-4.7-origin","2","6","6","80000","80000","493","493"
"mcps/appwrite-docs","2","0","5","0","3374","0","77"
"mcps/chrome-devtools","2","0","29","0","26345","0","826"
"mcps/cloudflare-docs","2","0","2","0","1112","0","25"
"mcps/CodSpeed","2","0","6","0","8434","0","189"
"mcps/context7","2","0","2","0","4521","0","44"
"mcps/exa","2","0","2","0","2235","0","50"
"mcps/fakechat","2","0","2","0","765","0","43"
"mcps/filesystem","2","0","14","0","9755","0","299"
"mcps/firecrawl","2","0","26","0","80539","0","1822"
"mcps/forge","2","0","9","0","3087","0","84"
"mcps/github","2","0","26","0","23882","0","1044"
"mcps/graphos-tools","2","0","3","0","2569","0","45"
"mcps/grok_com_canva","2","0","33","0","99250","0","1694"
"mcps/grok_com_github","2","0","91","0","112607","0","3775"
"mcps/grok_com_linear","2","0","43","0","51673","0","1812"
"mcps/grok_com_notion","2","0","17","0","122920","0","1992"
"mcps/linear","2","0","43","0","51673","0","1812"
"mcps/Notion","2","0","17","0","122920","0","1992"
"mcps/playwright","2","0","23","0","19244","0","646"
"mcps/posthog","2","0","139","0","2158662","0","42647"
"mcps/postman","2","0","123","0","461273","0","11793"
"mcps/Sanity","2","0","34","0","70149","0","1691"
"mcps/sentry","2","0","9","0","30136","0","497"
"mcps/sequential-thinking","2","0","1","0","4474","0","60"
"native/src","2","6","6","58527","58527","1192","1192"
"src/audio","2","3","3","49085","49085","1229","1229"
"src/core","2","3","3","25347","25347","557","557"
"src/logging","2","2","2","7104","7104","202","202"
"src/math","2","12","12","93007","93007","2139","2139"
"src/memory","2","1","1","5280","5280","162","162"
"src/server","2","3","3","49537","49537","1190","1190"
"src/sim","2","67","68","838967","854192","17947","18314"
"src/styles","2","1","1","48957","48957","1180","1180"
"src/ui","2","19","19","377656","377656","8706","8706"
"mcps/appwrite-docs/tools","3","5","5","3374","3374","77","77"
"mcps/chrome-devtools/tools","3","29","29","26345","26345","826","826"
"mcps/cloudflare-docs/tools","3","2","2","1112","1112","25","25"
"mcps/CodSpeed/tools","3","6","6","8434","8434","189","189"
"mcps/context7/tools","3","2","2","4521","4521","44","44"
"mcps/exa/tools","3","2","2","2235","2235","50","50"
"mcps/fakechat/tools","3","2","2","765","765","43","43"
"mcps/filesystem/tools","3","14","14","9755","9755","299","299"
"mcps/firecrawl/tools","3","26","26","80539","80539","1822","1822"
"mcps/forge/tools","3","9","9","3087","3087","84","84"
"mcps/github/tools","3","26","26","23882","23882","1044","1044"
"mcps/graphos-tools/tools","3","3","3","2569","2569","45","45"
"mcps/grok_com_canva/tools","3","33","33","99250","99250","1694","1694"
"mcps/grok_com_github/tools","3","91","91","112607","112607","3775","3775"
"mcps/grok_com_linear/tools","3","43","43","51673","51673","1812","1812"
"mcps/grok_com_notion/tools","3","17","17","122920","122920","1992","1992"
"mcps/linear/tools","3","43","43","51673","51673","1812","1812"
"mcps/Notion/tools","3","17","17","122920","122920","1992","1992"
"mcps/playwright/tools","3","23","23","19244","19244","646","646"
"mcps/posthog/tools","3","139","139","2158662","2158662","42647","42647"
"mcps/postman/tools","3","123","123","461273","461273","11793","11793"
"mcps/Sanity/tools","3","34","34","70149","70149","1691","1691"
"mcps/sentry/tools","3","9","9","30136","30136","497","497"
"mcps/sequential-thinking/tools","3","1","1","4474","4474","60","60"
"src/sim/ai","3","1","1","15225","15225","367","367"
