"relative_dir","depth","immediate_files","recursive_files","immediate_bytes","recursive_bytes","immediate_text_lines","recursive_text_lines"
".","0","31","1071","494370","8365122","7172","154900"
"mcps","1","0","699","0","3471599","0","74959"
"mcps/posthog","2","0","139","0","2158662","0","42647"
"mcps/postman","2","0","123","0","461273","0","11793"
"src","1","4","116","151617","1661782","3149","36828"
"tests","1","100","100","549105","549105","13113","13113"
"mcps/grok_com_github","2","0","91","0","112607","0","3775"
"docs","1","37","74","877886","1727907","7838","14306"
"src/sim","2","67","68","838967","854192","17947","18314"
"mcps/linear","2","0","43","0","51673","0","1812"
"mcps/grok_com_linear","2","0","43","0","51673","0","1812"
"mcps/Sanity","2","0","34","0","70149","0","1691"
"mcps/grok_com_canva","2","0","33","0","99250","0","1694"
"mcps/chrome-devtools","2","0","29","0","26345","0","826"
"mcps/firecrawl","2","0","26","0","80539","0","1822"
"mcps/github","2","0","26","0","23882","0","1044"
"mcps/playwright","2","0","23","0","19244","0","646"
"src/ui","2","19","19","377656","377656","8706","8706"
"mcps/Notion","2","0","17","0","122920","0","1992"
"mcps/grok_com_notion","2","0","17","0","122920","0","1992"
"mcps/filesystem","2","0","14","0","9755","0","299"
"src/math","2","12","12","93007","93007","2139","2139"
"bench","1","11","11","21195","21195","552","552"
".github","1","3","10","2997","19072","55","447"
"mcps/sentry","2","0","9","0","30136","0","497"
"scripts","1","9","9","31437","31437","765","765"
"mcps/forge","2","0","9","0","3087","0","84"
"docs/adr","2","9","9","39002","39002","431","431"
"native","1","3","9","11436","69963","196","1388"
"docs/reports","2","9","9","289450","289450","2461","2461"
"docs/audit-2026-06-13","2","8","8","358579","358579","2156","2156"
"legacy","1","1","7","70460","150460","828","1321"
"docs/audit-2026-06-15","2","7","7","83217","83217","797","797"
"native/src","2","6","6","58527","58527","1192","1192"
"mcps/CodSpeed","2","0","6","0","8434","0","189"
"legacy/opus-4.7-origin","2","6","6","80000","80000","493","493"
"mcps/appwrite-docs","2","0","5","0","3374","0","77"
".github/workflows","2","4","4","13484","13484","310","310"
".github/ISSUE_TEMPLATE","2","3","3","2591","2591","82","82"
"mcps/graphos-tools","2","0","3","0","2569","0","45"
"masters","1","3","3","29007","29007","400","400"
"src/server","2","3","3","49537","49537","1190","1190"
"src/core","2","3","3","25347","25347","557","557"
"src/audio","2","3","3","49085","49085","1229","1229"
"src/logging","2","2","2","7104","7104","202","202"
"mcps/exa","2","0","2","0","2235","0","50"
"mcps/fakechat","2","0","2","0","765","0","43"
"mcps/context7","2","0","2","0","4521","0","44"
"mcps/cloudflare-docs","2","0","2","0","1112","0","25"
"docs/reference","2","2","2","52193","52193","413","413"
"mcps/sequential-thinking","2","0","1","0","4474","0","60"
"src/styles","2","1","1","48957","48957","1180","1180"
"src/memory","2","1","1","5280","5280","162","162"
"docs/DAILY_RUNS","2","1","1","11024","11024","56","56"
".claude","1","1","1","178","178","11","11"
"lab","1","1","1","139047","139047","3638","3638"
"docs/audit-2026-06-16","2","1","1","16556","16556","154","154"
