"Name","Count","Bytes","TextLines"
".json","702","3474263","75045"
".ts","236","2221409","50192"
".md","87","1858591","17031"
".txt","9","208719","981"
".yml","8","16996","427"
".html","5","362181","7927"
".h","4","43556","861"
".xml","3","29007","400"
".cpp","2","14971","331"
".ps1","2","15084","393"
"[none]","2","3130","36"
".gitattributes","1","225","7"
".prettierignore","1","857","17"
".prettierrc","1","183","8"
".editorconfig","1","188","10"
".toml","1","441","8"
".docx","1","20861","0"
".csv","1","3622","21"
".css","1","48957","1180"
".yaml","1","213","9"
".gitignore","1","237","16"
".lock","1","41431","0"
