"relative_path","top","category","extension","bytes","lines","last_write_utc"
".claude/launch.json",".claude","root/config",".json","178","11","2026-06-20T11:14:34.9680729Z"
".coderabbit.yaml",".","root/config",".yaml","213","9","2026-06-20T11:14:34.9685954Z"
".editorconfig",".","root/config",".editorconfig","188","10","2026-06-20T11:14:34.9691456Z"
".gitattributes",".","root/config",".gitattributes","225","7","2026-06-20T11:14:34.9701879Z"
".github/CODEOWNERS",".github","ci-governance","[none]","774",,"2026-06-20T11:14:34.9707468Z"
".github/dependabot.yml",".github","ci-governance",".yml","921","35","2026-06-20T11:14:34.9736454Z"
".github/ISSUE_TEMPLATE/bug_report.yml",".github","ci-governance",".yml","1378","50","2026-06-20T11:14:34.9712917Z"
".github/ISSUE_TEMPLATE/config.yml",".github","ci-governance",".yml","520","8","2026-06-20T11:14:34.9718232Z"
".github/ISSUE_TEMPLATE/feature_request.yml",".github","ci-governance",".yml","693","24","2026-06-20T11:14:34.9723342Z"
".github/PULL_REQUEST_TEMPLATE.md",".github","ci-governance",".md","1302","20","2026-06-20T11:14:34.9729537Z"
".github/workflows/ci.yml",".github","ci-governance",".yml","6445","147","2026-06-20T11:14:34.9741839Z"
".github/workflows/codeql.yml",".github","ci-governance",".yml","1864","42","2026-06-20T11:14:34.9746931Z"
".github/workflows/pages.yml",".github","ci-governance",".yml","2325","60","2026-06-20T11:14:34.9752718Z"
".github/workflows/release.yml",".github","ci-governance",".yml","2850","61","2026-06-20T11:14:34.9757893Z"
".gitignore",".","root/config",".gitignore","237","16","2026-06-20T11:14:34.9763051Z"
".prettierignore",".","root/config",".prettierignore","857","17","2026-06-20T11:14:34.9763051Z"
".prettierrc",".","root/config",".prettierrc","183","8","2026-06-20T11:14:34.9769181Z"
"AGENTS.md","A","root/config",".md","1841","26","2026-06-20T11:14:34.9775330Z"
"bench/algorithms.bench.ts","bench","benchmarks",".ts","1370","35","2026-06-20T11:14:34.9844302Z"
"bench/games.bench.ts","bench","benchmarks",".ts","1594","40","2026-06-20T11:14:34.9844302Z"
"bench/heap.bench.ts","bench","benchmarks",".ts","1534","41","2026-06-20T11:14:34.9844302Z"
"bench/index.ts","bench","benchmarks",".ts","626","18","2026-06-20T11:14:34.9859727Z"
"bench/quantum.bench.ts","bench","benchmarks",".ts","1400","37","2026-06-20T11:14:34.9859727Z"
"bench/reaction-diffusion.bench.ts","bench","benchmarks",".ts","2382","75","2026-06-20T11:14:34.9869767Z"
"bench/rng.bench.ts","bench","benchmarks",".ts","978","25","2026-06-20T11:14:34.9869767Z"
"bench/scalar.bench.ts","bench","benchmarks",".ts","2107","59","2026-06-20T11:14:34.9886608Z"
"bench/scale.ts","bench","benchmarks",".ts","3771","103","2026-06-20T11:14:34.9896177Z"
"bench/spatial-hash.bench.ts","bench","benchmarks",".ts","1711","44","2026-06-20T11:14:34.9896177Z"
"bench/super-mind.bench.ts","bench","benchmarks",".ts","3722","75","2026-06-20T11:14:36.0487014Z"
"bun.lock","b","root/config",".lock","41431",,"2026-06-20T11:14:34.9921263Z"
"bunfig.toml","b","root/config",".toml","441","8","2026-06-20T11:14:34.9921263Z"
"CHANGELOG.md","C","root/config",".md","164475","1836","2026-06-20T11:14:36.0447886Z"
"CLAUDE.md","C","root/config",".md","1841","26","2026-06-20T11:14:34.9797146Z"
"CODE_OF_CONDUCT.md","C","root/config",".md","2451","43","2026-06-20T11:14:34.9802297Z"
"CONTRIBUTING.md","C","root/config",".md","4458","78","2026-06-20T11:14:34.9807467Z"
"docs.html","d","root/config",".html","61661","1412","2026-06-20T11:14:36.0498121Z"
"docs/500-POINT-INSPECTION.md","docs","docs",".md","52199","557","2026-06-20T11:14:34.9955250Z"
"docs/adr/0001-bun-runtime.md","docs","docs",".md","2454","43","2026-06-20T11:14:35.0103694Z"
"docs/adr/0002-threejs-rendering.md","docs","docs",".md","2856","49","2026-06-20T11:14:35.0108962Z"
"docs/adr/0003-htmx-tailwind-ui.md","docs","docs",".md","2868","47","2026-06-20T11:14:35.0119504Z"
"docs/adr/0004-deterministic-rng.md","docs","docs",".md","2860","50","2026-06-20T11:14:35.0119504Z"
"docs/adr/0005-math-stack-selection.md","docs","docs",".md","5077","32","2026-06-20T11:14:35.0125211Z"
"docs/adr/0006-asi-graphics-and-language-stack.md","docs","docs",".md","6643","49","2026-06-20T11:14:35.0130576Z"
"docs/adr/0007-native-cpp-engine-and-live-physics.md","docs","docs",".md","6623","70","2026-06-20T11:14:35.0135769Z"
"docs/adr/0008-super-creature-deep-mind.md","docs","docs",".md","3627","43","2026-06-20T11:14:35.0141177Z"
"docs/adr/0009-genome-reproduction.md","docs","docs",".md","5994","48","2026-06-20T11:14:35.0141177Z"
"docs/AI-SUBSYSTEM.md","docs","docs",".md","19508","173","2026-06-20T11:14:36.0503432Z"
"docs/ARCHITECTURE.md","docs","docs",".md","21253","366","2026-06-20T11:14:36.0515611Z"
"docs/audit-2026-06-13/ARCHITECTURE-ASSESSMENT.md","docs","docs",".md","38893","390","2026-06-20T11:14:35.0152112Z"
"docs/audit-2026-06-13/AUDIT-AND-FIX-PLAN.md","docs","docs",".md","16806","174","2026-06-20T11:14:35.0157230Z"
"docs/audit-2026-06-13/CODE-REVIEW.md","docs","docs",".md","79316","340","2026-06-20T11:14:35.0162353Z"
"docs/audit-2026-06-13/DOMAIN-MODEL-ERD-ERM-ERP.md","docs","docs",".md","38968","500","2026-06-20T11:14:35.0173269Z"
"docs/audit-2026-06-13/ENGINEERING-ASSESSMENT.md","docs","docs",".md","27892","164","2026-06-20T11:14:35.0178510Z"
"docs/audit-2026-06-13/EXECUTIVE-SUMMARY.md","docs","docs",".md","20948","87","2026-06-20T11:14:35.0184630Z"
"docs/audit-2026-06-13/KANBAN-BOARD.md","docs","docs",".md","78208","296","2026-06-20T11:14:35.0191478Z"
"docs/audit-2026-06-13/SECURITY-SUPPLYCHAIN-AUDIT.md","docs","docs",".md","57548","205","2026-06-20T11:14:35.0196732Z"
"docs/audit-2026-06-15/500-POINT-PASS-FINDINGS.md","docs","docs",".md","16881","124","2026-06-20T11:14:35.0208585Z"
"docs/audit-2026-06-15/500-POINT-PASS-HANDOFF.md","docs","docs",".md","13295","128","2026-06-20T11:14:35.0208585Z"
"docs/audit-2026-06-15/ARCHITECTURE-REVIEW-V56-V64.md","docs","docs",".md","8234","83","2026-06-20T11:14:35.0220014Z"
"docs/audit-2026-06-15/CHAOS-MODE-V62-VALIDATION.md","docs","docs",".md","6089","84","2026-06-20T11:14:35.0225254Z"
"docs/audit-2026-06-15/SECURITY-GOVERNANCE.md","docs","docs",".md","9615","69","2026-06-20T11:14:35.0225254Z"
"docs/audit-2026-06-15/ULTRACODE-INSPECTION-2026-06-15.md","docs","docs",".md","19670","200","2026-06-20T11:14:35.0232221Z"
"docs/audit-2026-06-15/verification-run.txt","docs","docs",".txt","9433","109","2026-06-20T11:14:35.0242601Z"
"docs/audit-2026-06-16/SUPER-CREATURE-COGNITION-AUDIT.md","docs","docs",".md","16556","154","2026-06-20T11:14:35.0258829Z"
"docs/audit-2026-06-17-DEEP-CLAIMS-VERIFICATION.md","docs","docs",".md","5188","42","2026-06-20T11:14:36.0637929Z"
"docs/BENCHMARKS.md","docs","docs",".md","18327","195","2026-06-20T11:14:36.0526029Z"
"docs/BOOK.md","docs","docs",".md","15964","133","2026-06-20T11:14:36.0542160Z"
"docs/COMPLEXITY.md","docs","docs",".md","21132","93","2026-06-20T11:14:34.9985521Z"
"docs/CONTROLS.md","docs","docs",".md","6558","75","2026-06-20T11:14:34.9985521Z"
"docs/COPILOT-PROVIDERS.md","docs","docs",".md","5944","70","2026-06-20T11:14:34.9995011Z"
"docs/DAILY_RUNS/2026-06-16-0030.md","docs","docs",".md","11024","56","2026-06-20T11:14:35.0000044Z"
"docs/DESIGN-SYSTEM.md","docs","docs",".md","25032","297","2026-06-20T11:14:35.0000044Z"
"docs/ENTITY-SHEETS.md","docs","docs",".md","16093","180","2026-06-20T11:14:36.0552874Z"
"docs/ERD.md","docs","docs",".md","19494","407","2026-06-20T11:14:36.0571832Z"
"docs/ERM.md","docs","docs",".md","9794","115","2026-06-20T11:14:36.0571832Z"
"docs/ERP.md","docs","docs",".md","7634","156","2026-06-20T11:14:35.0030243Z"
"docs/FILE-MAP.md","docs","docs",".md","10124","121","2026-06-20T11:14:36.0581875Z"
"docs/GOAL5-RESEARCH-RECEIPTS.md","docs","docs",".md","13726","74","2026-06-20T11:14:36.0883011Z"
"docs/GOAL5-SWARM-HANDOFF-2026-06-19.md","docs","docs",".md","12689","115","2026-06-20T11:14:36.0903085Z"
"docs/KANBAN.md","docs","docs",".md","32618","200","2026-06-20T11:14:36.0596996Z"
"docs/MODULE-CONTRACTS.md","docs","docs",".md","98697","1281","2026-06-20T11:14:36.0602031Z"
"docs/PHILOSOPHY.md","docs","docs",".md","4816","68","2026-06-20T11:14:35.0063717Z"
"docs/PRE-2016-AI.md","docs","docs",".md","77848","684","2026-06-20T11:14:36.0612816Z"
"docs/reference/domain-key-libraries.csv","docs","docs",".csv","3622","21","2026-06-20T11:14:35.0275379Z"
"docs/reference/math-libs-catalog.md","docs","docs",".md","48571","392","2026-06-20T11:14:35.0280648Z"
"docs/reports/2026-06-16-STATE-OF-THE-ART-COMBINED.md","docs","docs",".md","67486","631","2026-06-20T11:14:35.0286065Z"
"docs/reports/2026-06-16-STATE-OF-THE-ART-SUPER-CREATURE.md","docs","docs",".md","25967","130","2026-06-20T11:14:35.0297315Z"
"docs/reports/2026-06-16-STATE-OF-THE-ART-WHOLE-REPO.md","docs","docs",".md","23045","223","2026-06-20T11:14:35.0302594Z"
"docs/reports/2026-06-17-STATE-OF-THE-ART-COMBINED.md","docs","docs",".md","67237","627","2026-06-20T11:14:36.0637929Z"
"docs/reports/2026-06-17-STATE-OF-THE-ART-SUPER-CREATURE.md","docs","docs",".md","36032","192","2026-06-20T11:14:36.0647976Z"
"docs/reports/2026-06-17-STATE-OF-THE-ART-WHOLE-REPO.md","docs","docs",".md","40984","297","2026-06-20T11:14:36.0657980Z"
"docs/reports/2026-06-18-GOAL5-SUPER-CREATURES-PASS.md","docs","docs",".md","2743","32","2026-06-20T11:14:36.1320813Z"
"docs/reports/2026-06-18-PRESIDENTIAL-EXECUTIVE-10-SWEEP-ANALYSIS.md","docs","docs",".md","8490","64","2026-06-20T11:14:36.0675321Z"
"docs/reports/2026-06-20-CURRENT-REPO-AUDIT.md","docs","docs",".md","17466","265","2026-06-20T11:25:38.9522737Z"
