"Name","Count","Bytes","TextLines"
"eshkol-language-core","1410","26189691","390752"
"eshkol-research","52","153124","2417"
"logs","1","13238","0"
"mirror:asteroids","4","14685","357"
"mirror:classical_rng","32","92376","2519"
"mirror:gpt2-basic","1323","196034761","699226"
"mirror:homebrew-eshkol","2","5012","0"
"mirror:libirrep","1510","18471244","154434"
"mirror:llm-arbitrator","56","347971","9672"
"mirror:logo-lab","1816","110114094","1252157"
"mirror:moonlab","3478","45371537","331418"
"mirror:PIMC","5","246245","37"
"mirror:PINN","13","36222","739"
"mirror:quantum_geometric_tensor","770","11796358","276136"
"mirror:quantum_rng","51","472208","7919"
"mirror:quantum-quake","805","27428454","310392"
"mirror:Quantum-RNG-API","12","130616","3498"
"mirror:simple_mnist","10","61082","1624"
"mirror:SolanaQuantumFlux","49","29030378","167625"
"mirror:spin_based_neural_network","352","10836726","89167"
"mirror:tensorcore","357","3947124","78823"
"mirror:ulg","188","12670530","55937"
"prior-audits","38","2930993","14025"
"root-corpus-metadata","22","247042","3296"
"site-snapshots","88","4629420","22722"
