"Name","Count","Bytes","TextLines"
".js","1551","56690649","1131884"
".c","1459","25885273","648736"
".make","1260","3685369","35047"
".h","964","9646617","220046"
".md","952","11629872","224936"
".txt","781","82491985","668499"
".rsp","747","121212","747"
".esk","721","2254720","51416"
".cmake","542","677471","11769"
".ts","428","3726301","101700"
".py","353","5568780","126347"
".json","306","26059293","276826"
".bin","293","110031439","0"
".log","205","505112","0"
".cpp","204","7946223","150315"
".sh","196","1123089","27479"
".obj","165","2906843","0"
".d","161","1342896","7935"
".mjs","99","1124181","25271"
"[none]","96","7398853","16726"
".html","75","4855722","38807"
".rs","69","604591","0"
".o","43","1413608","0"
".png","42","18983003","0"
".metal","41","545670","0"
".pyc","36","626539","0"
".qc","34","512888","0"
".yml","32","147397","3723"
".css","32","689683","3442"
".map","32","10678706","0"
".mm","28","750248","0"
".svg","25","193258","1947"
".mts","22","292062","0"
".s","22","247544","0"
".bat","22","20242","723"
".gitignore","22","14429","894"
".bas","21","785244","0"
".yaml","18","1761793","26897"
".asm","17","243775","0"
".cu","17","327959","0"
".exe","16","1796281","0"
".wasm","13","7725438","0"
".tsx","12","159816","3987"
".a","12","5261746","0"
".cjs","11","2211515","57301"
".pdf","11","27677782","0"
".ps1","11","90624","2041"
".in","10","21933","0"
".internal","9","1315179","0"
".m","8","41770","0"
".gif","7","5377244","0"
".toml","7","12085","395"
".jsx","6","96592","0"
".gitkeep","6","202","4"
".ini","5","1879","0"
".license","5","310203","0"
".check_cache","5","430","0"
".dsp","4","76146","0"
".dsw","4","2803","0"
".marks","4","16","0"
".dat","4","407520","0"
".example","4","3073","0"
".plg","4","27381","0"
".ttf","4","259088","0"
".plist","4","4583","0"
".includecache","4","1054","0"
".ico","3","25930","0"
".spr","3","336","0"
".mdp","3","141824","0"
".flow","3","249676","0"
".rb","3","11962","0"
".mak","3","269739","0"
".nib","3","142248","0"
".cff","3","5267","0"
".nojekyll","3","4","0"
".lib","3","545592","0"
".icn","3","324","0"
".xcscheme","3","9611","0"
".cts","3","12437","0"
".xml","2","46009","354"
".rtf","2","43358","0"
".webmanifest","2","1080","0"
".src","2","360","0"
".node","2","31870840","0"
".pbxproj","2","245106","0"
".001","2","7126","0"
".gitattributes","2","168","5"
".dll","2","2733449","0"
".dockerignore","2","762","52"
".editorconfig","2","538","26"
".gitmodules","2","200","6"
".java","2","10989","0"
".bmp","2","131980","0"
".csv","2","1477863","8375"
".wat","1","5556","0"
".cookie","1","0","0"
".svgalib","1","1721","0"
".tag","1","191","0"
".zip","1","4522713","0"
".2026-01-17","1","0","0"
".3dfxgl","1","383","0"
".test","1","902","0"
".control-plane","1","1980","0"
".tpl","1","998","0"
".comp","1","9179","0"
".bak","1","1957","0"
".tsv","1","13305","0"
".cl","1","17016","0"
".cfg","1","608","0"
".strings","1","536","0"
".aps","1","69576","0"
".verify_globs","1","78","0"
".vscodeignore","1","100","8"
".w32","1","6359","0"
".w64","1","6224","0"
".xcworkspacedata","1","162","0"
".cc","1","8520","198"
".clang-format","1","412","17"
".ncb","1","828416","0"
".cws","1","1692","0"
".solaris","1","4937","0"
".macos-arm64","1","66","0"
".nix","1","4982","0"
".zst","1","16274","0"
".linux","1","31190","0"
".jsonl","1","2049","0"
".jsonc","1","549","11"
".on","1","17","0"
".opt","1","111104","0"
".paper","1","1420","0"
".pc","1","1060","0"
".inc","1","11750","0"
".icns","1","144338","0"
".gyp","1","730","0"
".gateway","1","490","0"
".exports","1","2954","0"
".q1","1","2598","0"
".exporter","1","472","0"
".qwcl","1","8071","0"
".qwsv","1","257","0"
".emscripten","1","5643","0"
".rc","1","3417","0"
".darwin","1","12577","0"
".metallib","1","21952","0"
".cuh","1","5351","0"
".lsm","1","599","0"
