"relative_path","top","category","extension","bytes","lines","last_write_utc"
"_AUDIT_2026-06-15/_census.py","_AUDIT_2026-06-15","prior-audits",".py","2157","40","2026-06-15T19:56:29.9803279Z"
"_AUDIT_2026-06-15/_site_papers/majoranazeromodes.pdf","_AUDIT_2026-06-15","prior-audits",".pdf","506978",,"2026-06-15T22:53:13.1990802Z"
"_AUDIT_2026-06-15/_site_papers/majoranazeromodes.txt","_AUDIT_2026-06-15","prior-audits",".txt","31123","599","2026-06-15T22:54:54.4571478Z"
"_AUDIT_2026-06-15/_site_papers/pathintegralsincurvedspace.pdf","_AUDIT_2026-06-15","prior-audits",".pdf","298150",,"2026-06-15T22:53:13.2000826Z"
"_AUDIT_2026-06-15/_site_papers/pathintegralsincurvedspace.txt","_AUDIT_2026-06-15","prior-audits",".txt","27925","824","2026-06-15T22:54:54.6570487Z"
"_AUDIT_2026-06-15/_site_papers/quantumspinliquid.pdf","_AUDIT_2026-06-15","prior-audits",".pdf","193529",,"2026-06-15T22:53:13.1990802Z"
"_AUDIT_2026-06-15/_site_papers/quantumspinliquid.txt","_AUDIT_2026-06-15","prior-audits",".txt","12748","252","2026-06-15T22:54:54.5085766Z"
"_AUDIT_2026-06-15/AUDIT_LOG.md","_AUDIT_2026-06-15","prior-audits",".md","16731","197","2026-06-15T19:51:03.9413412Z"
"_AUDIT_2026-06-15/BUILD_TEST_LOG.md","_AUDIT_2026-06-15","prior-audits",".md","9525","125","2026-06-15T21:33:47.9646034Z"
"_AUDIT_2026-06-15/BUILD_VERIFICATION.md","_AUDIT_2026-06-15","prior-audits",".md","3045","57","2026-06-15T19:54:56.0660421Z"
"_AUDIT_2026-06-15/CLAIMS_VERIFICATION.md","_AUDIT_2026-06-15","prior-audits",".md","7244","60","2026-06-15T20:05:31.9568531Z"
"_AUDIT_2026-06-15/CODEX_CURRENT_STATE_ADDENDUM.md","_AUDIT_2026-06-15","prior-audits",".md","5606","103","2026-06-15T20:03:12.8337761Z"
"_AUDIT_2026-06-15/COVERAGE_MANIFEST.md","_AUDIT_2026-06-15","prior-audits",".md","5235","59","2026-06-15T19:57:23.9427627Z"
"_AUDIT_2026-06-15/CURRENT_STATE_EVIDENCE.md","_AUDIT_2026-06-15","prior-audits",".md","13147","222","2026-06-15T19:51:51.9885895Z"
"_AUDIT_2026-06-15/DEEP_AUDIT_PASS_2_CATALOG_AND_CLAIMS.md","_AUDIT_2026-06-15","prior-audits",".md","12710","186","2026-06-15T19:49:01.1860918Z"
"_AUDIT_2026-06-15/DEEP_AUDIT_PASS_3_LINE_LEVEL_VERIFICATION.md","_AUDIT_2026-06-15","prior-audits",".md","11693","122","2026-06-15T19:52:07.1381315Z"
"_AUDIT_2026-06-15/DEEP_AUDIT_PASS_6_UNAUDITED_REPOS.md","_AUDIT_2026-06-15","prior-audits",".md","12269","187","2026-06-15T21:50:45.7811386Z"
"_AUDIT_2026-06-15/EXTERNAL_PRESENCE.md","_AUDIT_2026-06-15","prior-audits",".md","5227","71","2026-06-15T21:41:25.5223140Z"
"_AUDIT_2026-06-15/EXTERNAL_QUANTUM_LANDSCAPE.md","_AUDIT_2026-06-15","prior-audits",".md","11537","202","2026-06-15T19:48:59.0265693Z"
"_AUDIT_2026-06-15/EXTERNAL_WEB_AUDIT_2026-06-15.md","_AUDIT_2026-06-15","prior-audits",".md","6438","80","2026-06-15T21:37:50.6601264Z"
"_AUDIT_2026-06-15/FILE_INDEX.csv","_AUDIT_2026-06-15","prior-audits",".csv","1476189","8325","2026-06-15T20:02:17.6059305Z"
"_AUDIT_2026-06-15/FRESH_VERIFICATION_2026-06-15.md","_AUDIT_2026-06-15","prior-audits",".md","14671","264","2026-06-15T22:03:02.8214489Z"
"_AUDIT_2026-06-15/INDEX.md","_AUDIT_2026-06-15","prior-audits",".md","4764","50","2026-06-15T22:56:08.0473856Z"
"_AUDIT_2026-06-15/KNOWLEDGE_GRAPH_2026-06-15_FINAL.md","_AUDIT_2026-06-15","prior-audits",".md","11857","188","2026-06-15T23:33:37.0728282Z"
"_AUDIT_2026-06-15/KNOWLEDGE_GRAPH_CURRENT.json","_AUDIT_2026-06-15","prior-audits",".json","12053","349","2026-06-15T19:50:29.9192872Z"
"_AUDIT_2026-06-15/KNOWLEDGE_GRAPH_PASS_2.md","_AUDIT_2026-06-15","prior-audits",".md","9509","130","2026-06-15T19:50:09.6819592Z"
"_AUDIT_2026-06-15/KNOWLEDGE_GRAPH.json","_AUDIT_2026-06-15","prior-audits",".json","12870","98","2026-06-15T19:38:43.6823742Z"
"_AUDIT_2026-06-15/KNOWLEDGE_GRAPH.md","_AUDIT_2026-06-15","prior-audits",".md","6700","83","2026-06-15T19:38:30.6433909Z"
"_AUDIT_2026-06-15/NOVELTY_ASSESSMENT.md","_AUDIT_2026-06-15","prior-audits",".md","4915","58","2026-06-15T23:07:59.2876172Z"
"_AUDIT_2026-06-15/QUANTUM_BENCHMARK.md","_AUDIT_2026-06-15","prior-audits",".md","22778","274","2026-06-15T22:49:50.4587282Z"
"_AUDIT_2026-06-15/QUANTUM_BENCHMARK.xml","_AUDIT_2026-06-15","prior-audits",".xml","17017","144","2026-06-15T22:50:11.5292660Z"
"_AUDIT_2026-06-15/QUANTUM_LANDSCAPE.md","_AUDIT_2026-06-15","prior-audits",".md","9988","110","2026-06-15T21:34:33.9556090Z"
"_AUDIT_2026-06-15/quantum_rng_smoke.c","_AUDIT_2026-06-15","prior-audits",".c","1571","53","2026-06-15T19:56:46.9695026Z"
"_AUDIT_2026-06-15/quantum_rng_smoke.exe","_AUDIT_2026-06-15","prior-audits",".exe","92633",,"2026-06-15T19:56:59.6691261Z"
"_AUDIT_2026-06-15/REPORT.md","_AUDIT_2026-06-15","prior-audits",".md","15195","132","2026-06-15T19:50:56.5028934Z"
"_AUDIT_2026-06-15/RUNTIME_VERIFICATION.md","_AUDIT_2026-06-15","prior-audits",".md","15203","254","2026-06-15T21:33:57.8865338Z"
"_AUDIT_2026-06-15/SECOND_PASS_2026-06-15.md","_AUDIT_2026-06-15","prior-audits",".md","5140","61","2026-06-15T22:55:49.9360004Z"
"_AUDIT_2026-06-15/STRONGEST_CASE.md","_AUDIT_2026-06-15","prior-audits",".md","4923","66","2026-06-15T21:36:41.6633005Z"
".devin/workflows/goal.md",".devin","root-corpus-metadata",".md","0","0","2026-06-15T19:49:39.9882830Z"
"analyze_corpus.py","a","root-corpus-metadata",".py","11749","236","2026-06-19T11:30:48.2585297Z"
"CORPUS_DEEP_DIVE_REPORT.json","C","root-corpus-metadata",".json","43695","953","2026-06-20T11:31:45.0633623Z"
"CORPUS.md","C","root-corpus-metadata",".md","4226","69","2026-06-19T09:51:47.5107380Z"
"crawl_sites.py","c","root-corpus-metadata",".py","3144","78","2026-06-19T09:53:11.8392917Z"
"ELITE_CORPUS_DEEP_DIVE_REPORT.md","E","root-corpus-metadata",".md","11926","141","2026-06-19T11:31:44.0434253Z"
"Eshkol/eshkol_repo/.dockerignore","Eshkol","eshkol-language-core",".dockerignore","91","11","2026-06-11T17:09:58.6021711Z"
"Eshkol/eshkol_repo/.github/ISSUE_TEMPLATE/bug_report.md","Eshkol","eshkol-language-core",".md","840","36","2026-06-11T17:09:58.6031710Z"
"Eshkol/eshkol_repo/.github/ISSUE_TEMPLATE/feature_request.md","Eshkol","eshkol-language-core",".md","785","25","2026-06-11T17:09:58.6031710Z"
"Eshkol/eshkol_repo/.github/workflows/ci.yml","Eshkol","eshkol-language-core",".yml","17620","397","2026-06-11T17:09:58.6031710Z"
"Eshkol/eshkol_repo/.github/workflows/pages.yml","Eshkol","eshkol-language-core",".yml","5291","135","2026-06-11T17:09:58.6041717Z"
"Eshkol/eshkol_repo/.github/workflows/release.yml","Eshkol","eshkol-language-core",".yml","21682","499","2026-06-11T17:09:58.6041717Z"
"Eshkol/eshkol_repo/.gitignore","Eshkol","eshkol-language-core",".gitignore","2012","126","2026-06-19T09:33:05.8995452Z"
"Eshkol/eshkol_repo/.gitlab-ci.yml","Eshkol","eshkol-language-core",".yml","13374","402","2026-06-11T17:09:58.6041717Z"
"Eshkol/eshkol_repo/.icc/assistant-goals.yaml","Eshkol","eshkol-language-core",".yaml","5885","77","2026-06-11T17:09:58.6046750Z"
