lines,file,domain
2110,apex-brain.ts,apex
1928,super-mind.ts,apex
1547,titans.ts,antagonist
1417,super-body.ts,apex
1392,creature-exterior-layers.ts,environment_viz
1151,instanced-entities.ts,environment_viz
1131,singularities.ts,antagonist
1107,alphabet-pantheon-render.ts,pantheon_god
1014,environment.ts,environment_viz
1005,thaler-sentience.ts,lab_offline
941,entities.ts,population
885,monolith-temple.ts,pantheon_god
870,consciousness-kernel.ts,lab_offline
845,pantheon-breeding.ts,pantheon_god
812,tsotchke-deep-wire.ts,tsotchke_math
757,mechalogodrom.ts,apex
743,shoggoths.ts,antagonist
738,economy.ts,collective_emergence
722,alien-flora.ts,ecology
696,emergence-angles.ts,pantheon_god
662,foundationals.ts,environment_viz
632,petri-dish.ts,petri_biologics
615,atmosphere.ts,environment_viz
575,super-qubits.ts,apex
551,libirrep-qec.ts,environment_viz
546,consciousness-adapters.ts,lab_offline
491,myth-ritual.ts,environment_viz
482,holographic-memory.ts,apex
477,puppet-masters.ts,antagonist
475,behaviors.ts,population
450,nqs-vmc-learning.ts,environment_viz
446,algorithms.ts,environment_viz
445,consciousness-lab.ts,lab_offline
441,constants.ts,environment_viz
438,nhi.ts,population
435,tsotchke-registry.ts,tsotchke_math
428,nhi-body.ts,population
421,moonlab-vqe.ts,tsotchke_math
406,tom-pantheon.ts,pantheon_god
393,viz3d.ts,environment_viz
388,connectome.ts,population
380,eshkol-bridge.ts,tsotchke_math
378,vegetation.ts,ecology
368,self-evolution-loop.ts,environment_viz
365,super-creature.ts,apex
360,phyla.ts,environment_viz
359,digital-biologics.ts,petri_biologics
354,quantum-quake-physics.ts,tsotchke_math
350,leviathans.ts,antagonist
349,wilderness-population.ts,population
349,mechalogodrom-brain.ts,apex
348,symbiosis.ts,environment_viz
348,god-colossus.ts,pantheon_god
339,resonance.ts,environment_viz
335,faculties-pantheon.ts,pantheon_god
333,reaction-diffusion.ts,environment_viz
327,emergent-language.ts,environment_viz
327,apex-parameter-manifold.ts,apex
326,resonance-integrator.ts,environment_viz
319,godform.ts,pantheon_god
312,mortality.ts,environment_viz
304,empowerment.ts,apex
301,integrated-information.ts,environment_viz
301,entity-brain.ts,population
301,alphabet-pantheon.ts,pantheon_god
296,super-evolution.ts,apex
295,viz-benchmarks.ts,environment_viz
294,temple-greeble.ts,environment_viz
293,sentience-lab.ts,lab_offline
293,factions.ts,environment_viz
290,glyph-brain.ts,apex
274,floating-monoliths.ts,environment_viz
262,tsotchke-facade.ts,tsotchke_math
259,valence-steering.ts,environment_viz
257,attention-controller.ts,apex
257,active-inference.ts,environment_viz
255,classical-contrast.ts,tsotchke_math
253,primordial-soup.ts,petri_biologics
253,perceptual-priority.ts,environment_viz
250,brutal-god-releases.ts,pantheon_god
246,chaos-field.ts,collective_emergence
245,apex-field-substrate.ts,apex
244,quantum.ts,tsotchke_math
232,noosphere.ts,collective_emergence
232,apex-native-backend.ts,apex
231,gedanken-death.ts,environment_viz
229,apex-thought-variations.ts,apex
226,super-hunt.ts,apex
